Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.0937052724412279,-0.0969278340800905,-0.121116841059547,-0.225747878212699,-0.165334313637392,-0.192935463092054,-0.18637682234495,-0.136243282981835,0.00564122962524327
2,0,-0.0539045935466322,-0.0732739581292016,-0.135707827975379,-0.199793738770586,-0.169779800542281,-0.18233553490349,-0.14375533548763,-0.118965186155574,0.0132087944606269
3,0,-0.0745048798087801,-0.0899590778434849,-0.124571422274408,-0.211058837599826,-0.166505317543266,-0.182730344136818,-0.171314834639443,-0.134341831846811,-0.000806452877606501
4,0,-0.0752102785851534,-0.0831594989032881,-0.128294992505968,-0.199963910858101,-0.156246862616694,-0.181043383122063,-0.140247961514659,-0.126769669274259,0.0107973749907384
5,0,-0.0459187466968801,-0.0535934641962529,-0.13481710864472,-0.179509866168982,-0.156211425394192,-0.178161096347311,-0.127410650501438,-0.109066958269379,0.010717186151401
6,0,-0.0482048794345561,-0.0415322495690413,-0.115903022900681,-0.169676345392437,-0.15309828035004,-0.174582508936246,-0.122358523448704,-0.115164022126717,-0.00671973521820812
7,0,-0.0911829941863123,-0.104730621920182,-0.123141336337246,-0.220415202988009,-0.16116633646067,-0.181540520498322,-0.194080819268955,-0.14086005526521,0.00212009835511151
8,0,-0.0751688521105914,-0.100910945089638,-0.1285800347936,-0.20673731785208,-0.163862459776077,-0.171744019735102,-0.178964429977463,-0.140397474313178,-0.00540620149049675
9,0,-0.0499722199287376,-0.0765166275821949,-0.14516102455669,-0.182232764255161,-0.170991104647821,-0.176731231412941,-0.165617095197523,-0.12654140211292,0.000736292455112864
10,0,-0.0456253501762189,-0.0504926455761705,-0.108782670232356,-0.165093911953667,-0.158810933522799,-0.167275875502271,-0.125887132539598,-0.124654376155676,-0.0152458349488301
11,0,-0.0830749173873313,-0.0611170330743277,-0.0962963974596598,-0.205709467767916,-0.155673615347397,-0.18351167286456,-0.148036126198831,-0.128180630518247,-0.015324525349674
12,0,-0.110533556161831,-0.0814786864623323,-0.0961956019737338,-0.227449139448118,-0.144663549706481,-0.194644416960246,-0.159753485899899,-0.126436966286738,-0.00996145482472044
13,0,-0.0547467489750223,-0.0475765064716843,-0.13495792300987,-0.190184875371986,-0.170463781172893,-0.187407391642669,-0.149292788944136,-0.113121667943749,0.00319265894898346
14,0,-0.077103418677705,-0.0619233749888622,-0.132107845244957,-0.198984625975267,-0.16061378078655,-0.195211359365256,-0.155581028379288,-0.123816353556067,-0.0025816003544642
15,0,-0.11092397454859,-0.0914860601246542,-0.121669446731834,-0.208903277861277,-0.115200718820514,-0.135590063894086,-0.169016668011951,-0.12320269271312,0.0213940178967804
16,0,-0.0879056663961995,-0.0914981902696321,-0.116784386945772,-0.17909012575529,-0.11622657788467,-0.158340705375968,-0.192801799427741,-0.1241467070616,-0.0197714518843187
17,0,-0.0773932396021081,-0.0712029435718227,-0.134997148690502,-0.185557389429602,-0.127471336677325,-0.141620876670846,-0.148540549878497,-0.114497902144287,0.0166563373349562
18,0,-0.0512906173184178,-0.0666000913967769,-0.146212442054277,-0.17815379745702,-0.157344916864931,-0.164124108383576,-0.162394886355519,-0.118959851432967,0.00314704599146021
19,0,-0.0488331402659083,-0.0517594890076314,-0.111213187408914,-0.164620028511298,-0.159195215620429,-0.163493794914162,-0.131048664215665,-0.125694474568427,-0.00944500162079664
20,0,-0.0997149554798,-0.0859934387726166,-0.114707622868073,-0.223942508488178,-0.155262803285936,-0.187067685412133,-0.165981441539548,-0.137164355419535,0.000516364248847045
21,0,-0.0993291480434988,-0.0826266642722521,-0.120666959557841,-0.228580209155985,-0.162585321560219,-0.199761687218018,-0.186344345972735,-0.13312038213076,-0.0110649094106432
22,0,-0.0846522353050394,-0.0742384065013166,-0.132896959516214,-0.205499095726696,-0.162984629033957,-0.194778802702848,-0.164884464833671,-0.129431774825927,0.000807759211271852
23,0,-0.0975974443501197,-0.0769072063870694,-0.126052310500897,-0.217026091951818,-0.155859657457357,-0.20326000388319,-0.161652066432443,-0.126125667467233,-0.00911510858926912
24,0,-0.0802915588563746,-0.0645720496669463,-0.135539226168557,-0.168987853982657,-0.102744526882768,-0.121301333949272,-0.141888549698999,-0.0985498003426191,0.0148948899628749
25,0,-0.0813918562451419,-0.0769969960174927,-0.134398973940251,-0.19255621044986,-0.126200911893269,-0.151587382735279,-0.172767830893102,-0.113377305679016,0.00329589703020372
26,0,-0.0626735399111077,-0.080925892625731,-0.142128462538989,-0.190540531815684,-0.160952486424216,-0.175374664012409,-0.193781341336978,-0.125847040453685,-0.00511182293141765
27,0,-0.0559625747568906,-0.0731362414166005,-0.147384256425575,-0.183097077197692,-0.175347711232838,-0.16920101536195,-0.159030076552304,-0.127505871228131,0.013973454635718
28,0,-0.073169281195605,-0.0894917825941961,-0.165750255153716,-0.21045433590205,-0.185368589105945,-0.183357220596273,-0.179473068111685,-0.133511729077572,0.0274493047270625
29,0,-0.069983107721916,-0.0738589203670238,-0.157160352123164,-0.206405256223046,-0.1912555306891,-0.191223041765653,-0.192423045380436,-0.136013060318495,0.00754706077891099
30,0,-0.0715434046784797,-0.0670862424238142,-0.148712764554762,-0.20139655073711,-0.188710144844992,-0.191780864740114,-0.181834478189405,-0.132515387726792,0.00163005697385454
31,0,-0.0942559582058814,-0.080591409738754,-0.137301025980363,-0.216477511693944,-0.170551849932766,-0.203250038903164,-0.181974028954164,-0.137460108562562,-0.00416583154344252
32,0,-0.0936701132519474,-0.0611771665068517,-0.114100728457659,-0.206249897769285,-0.156457650519084,-0.19584949855113,-0.166327839800063,-0.118544463755394,-0.0248394291271818
33,0,-0.0708169902689422,-0.0889014281527224,-0.14405317700203,-0.199331035490274,-0.156890049550073,-0.174431460111345,-0.205441544179845,-0.125814275856688,-0.00175746989239467
34,0,-0.0706504712654025,-0.091869292890973,-0.148868031650336,-0.194808010190809,-0.149498557653104,-0.162228127578633,-0.192713208396679,-0.118999951152644,0.00109216881304852
35,0,-0.045879343753195,-0.0694945806427121,-0.168920504030014,-0.175348744788642,-0.190456557325417,-0.166802708400859,-0.172700544073135,-0.125528780430895,0.0210427475805033
36,0,-0.0513627903732914,-0.0655806864817078,-0.168487331880237,-0.182484690924988,-0.196511763126375,-0.175545952794918,-0.182050808235392,-0.130020086258041,0.0181095358629013
37,0,-0.0583484553337253,-0.0644106554216539,-0.169078091081869,-0.190857813116323,-0.204022803120914,-0.185253709628316,-0.193491028274981,-0.136341632554409,0.0128332841687757
38,0,-0.0667016001280817,-0.0661188828234009,-0.170690007644059,-0.200528663932335,-0.212973800609214,-0.195892188856433,-0.206952164315228,-0.144605343862097,0.00519272074853361
39,0,-0.0742417436884747,-0.043237409380143,-0.113177754138603,-0.183523103563814,-0.165323734910698,-0.177365640437801,-0.170468348576607,-0.116738367337669,-0.0151851926748999
40,0,-0.08142869550514,-0.0221806371422518,-0.0839268962044428,-0.173931833929124,-0.137064346769651,-0.161046559336637,-0.139182162010263,-0.0829806790613986,-0.0291682784217798
41,0,-0.0700518022822213,-0.0933725117811497,-0.15074512682103,-0.202332929704362,-0.15908837931811,-0.169569936627773,-0.20975705896278,-0.123795613380567,0.00647532514323101
