Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.0176154650869983,-0.0790395491366572,-0.146312881224542,-0.167694271861124,-0.194180317108694,-0.144089080208709,-0.10244031841638,-0.025847094793483,-0.0233190214692572
2,0,-0.0167787943358899,-0.0801810691344015,-0.143838884855114,-0.162808118251564,-0.189253627489419,-0.142374360456418,-0.111449418588242,-0.0449959507879817,-0.0160364486972907
3,0,-0.0165947133407335,-0.0797537485994619,-0.150208158128559,-0.177368059205562,-0.20436214545548,-0.140446232264133,-0.0906523919131045,-0.0731164966247368,-0.0264333819487464
4,0,-0.0141080729640837,-0.0848035402424556,-0.14938088625773,-0.156770075488033,-0.184916305964374,-0.15456859998564,-0.124821374692248,-0.0222212223162621,-0.018881842309119
5,0,-0.0168421202749245,-0.0776257026436346,-0.144365980288402,-0.151300431685438,-0.175932024948579,-0.146663065692695,-0.124979245401196,-0.0259108268640053,-0.0110327004104338
6,0,-0.0134840365888853,-0.0733247412330372,-0.147529212710242,-0.155232128647616,-0.187773344389178,-0.156721462723083,-0.126992342457614,-0.0468746115719072,-0.0252167545243503
7,0,-0.0124182417570432,-0.0607263895041911,-0.130948729693597,-0.139899155872089,-0.155996788357319,-0.129942259659884,-0.109159087474532,0.0100916420033688,-0.00900696741500229
8,0,-0.00432711051263612,-0.0516501139182257,-0.134739978202642,-0.157045902790028,-0.188003005647191,-0.149169714629457,-0.121496181943293,-0.130025281086268,-0.0328030705341283
9,0,-0.0160720609459634,-0.0961358802439609,-0.156302854262733,-0.188468758268922,-0.214476285618198,-0.155323887161417,-0.0991323509199535,-0.0946417673359572,-0.0337705333808855
10,0,-0.0165169500055508,-0.098723585161352,-0.180296856098836,-0.205518850541021,-0.258183161871957,-0.163271120892,-0.128717931855322,-0.165203866992478,-0.038815501519432
11,0,-0.0108384094217109,-0.0794646329215314,-0.154948829142963,-0.201347109259961,-0.224793142216818,-0.138252962975806,-0.070191598783284,-0.146216615536533,-0.0487847303765591
12,0,-0.01274653959015,-0.101850710424789,-0.160977103685434,-0.176628360294374,-0.207031365020642,-0.163084523646063,-0.12052058379254,-0.0814879967773733,-0.030841912848345
13,0,-0.00534971730620326,-0.0767567891842386,-0.135071519015084,-0.15711585025274,-0.170253468168574,-0.132755253848483,-0.0893674129931205,-0.0236761168995666,-0.0237677546676112
14,0,0.000889254805175321,-0.0683832693312565,-0.124638284078004,-0.142929164475328,-0.149303043351407,-0.123947660197508,-0.0888231066290458,0.00254252623697426,-0.0179258467385403
15,0,0.00175608365048507,-0.0595044376322971,-0.129797894876588,-0.151939568115442,-0.173464708758309,-0.138546326465733,-0.107874823180854,-0.0884354482248649,-0.0328658569209443
16,0,0.0035474416542407,-0.0516184180955227,-0.136443580344798,-0.166038992399564,-0.199011889578308,-0.159225023460868,-0.129490699082017,-0.187974805336877,-0.0421463732482619
17,0,-0.00698888150083588,-0.0813946068754141,-0.137670403945183,-0.175631604743292,-0.182723691073841,-0.132410654900298,-0.0604734170209527,-0.0793234172660588,-0.0371565696554872
18,0,-0.00828818103262352,-0.0756391367859689,-0.149792492270914,-0.195217844103359,-0.204272634810313,-0.134240162464774,-0.0463408183662208,-0.121941370583024,-0.0537567488038945
19,0,0.000569282479456756,-0.0882213583960318,-0.138267997008044,-0.163217639180602,-0.174022817170372,-0.13683187733391,-0.0853242962669529,-0.0672055778915102,-0.0328319917871425
20,0,0.00250576313535045,-0.082312350198257,-0.135324829853242,-0.155939851069526,-0.164946051745498,-0.135059228586921,-0.0893294909594506,-0.0448928676692021,-0.0284752787529152
21,0,0.00328302227011634,-0.0763992096862619,-0.132520495961686,-0.148535930192111,-0.15623865476734,-0.133583483322792,-0.0928408496183665,-0.0220182773645891,-0.0249938144063848
22,0,0.00529106753433672,-0.0652188276271594,-0.135671831492753,-0.157298107184891,-0.178965209116955,-0.147646011804616,-0.112632889992686,-0.102929657244217,-0.0387019257486111
23,0,0.00814540068948677,-0.0550475596655449,-0.14023811991544,-0.171082233208133,-0.203034372817742,-0.167678763690976,-0.13523287055212,-0.185767383155197,-0.0465247053979374
24,0,-0.00542172876507419,-0.0901065544194057,-0.148040218801276,-0.181116910767461,-0.188763849900904,-0.14122615620431,-0.0642546823308049,-0.0949157585999003,-0.0440298174671553
25,0,-0.0098642215336423,-0.0931759534102239,-0.162642345162908,-0.203593888376746,-0.212771407209619,-0.149106558754188,-0.0589260878849959,-0.134713459335844,-0.0509640726277201
26,0,0.00225060185693127,-0.0974485892825282,-0.146881544240985,-0.169494321787583,-0.181613976310526,-0.145961370805469,-0.0892455873627929,-0.0906776751293382,-0.0404611241847695
27,0,0.00434035451962322,-0.091286253916862,-0.143740433962312,-0.162155574556183,-0.172641681154892,-0.144486213814524,-0.0934668665138937,-0.0690305067783286,-0.0362360372663469
28,0,0.00526918659845954,-0.0851111082686342,-0.140760088284696,-0.154670380410813,-0.164005624293018,-0.143276692064738,-0.0972136269219236,-0.0470403491631338,-0.0328839465571731
29,0,0.0117809829107094,-0.067411374317038,-0.141531649958112,-0.1749431966125,-0.203923414411502,-0.158293295703339,-0.121533427685842,-0.125933776455161,-0.0454358471945076
30,0,0.0119029153147949,-0.0626335617314282,-0.143806473481916,-0.175391971374357,-0.203070884711988,-0.170839049150449,-0.134899044183113,-0.151865540137914,-0.0446913740733614
31,0,-0.00436607785282017,-0.0993483031474418,-0.158627182566083,-0.186964142930118,-0.195405159971664,-0.150001841193041,-0.0683867775810603,-0.110564147690041,-0.0515732633691438
32,0,-0.00887025711148504,-0.0986693395055019,-0.166615092492285,-0.20221171988033,-0.204371117156414,-0.152370494806354,-0.0487128854791061,-0.128111811967807,-0.0528691753306263
33,0,0.00342017507702397,-0.107291490738942,-0.155767666326332,-0.176201549223023,-0.189939293203452,-0.155101235551204,-0.0935270490767129,-0.114009343916212,-0.0488583917471629
34,0,0.0056749300831378,-0.100893062230111,-0.152455332684321,-0.168836143312728,-0.181102771012595,-0.153923058200983,-0.0979362879378751,-0.0933069346512474,-0.044790573612269
35,0,0.0107994896094734,-0.0869728436230963,-0.149470705193443,-0.1740575563113,-0.194188850434949,-0.158816181061111,-0.11217988693199,-0.110617202729345,-0.0488137037112509
36,0,0.0151604410637882,-0.0752702969321679,-0.148993848314555,-0.181566290758365,-0.209286891537346,-0.166496213980383,-0.129753704931588,-0.146130375138212,-0.0516673597587598
37,0,-0.00389049999483038,-0.109069464916555,-0.169386272978143,-0.193142990294779,-0.202611499719188,-0.158694674245249,-0.0728110520803031,-0.126237160546395,-0.0597753718177517
38,0,-0.00856395504691065,-0.107760524286241,-0.17866986831072,-0.207350296767594,-0.209882804151436,-0.160437431951363,-0.0534848562322078,-0.137044843367911,-0.0600625417778206
39,0,0.00400810099962512,-0.1176891326093,-0.164889230923806,-0.183302835356145,-0.198946146960772,-0.164203452864603,-0.0981123090857642,-0.137122262498588,-0.0580046955144817
40,0,0.00643862642628767,-0.11107548172106,-0.161434244078831,-0.175945472421804,-0.190278382790452,-0.163321820031644,-0.10268241617884,-0.117657533745274,-0.0541222431684458
41,0,0.0178277202811135,-0.0874358201165896,-0.156257193884972,-0.192164204118394,-0.222396602969442,-0.173642595912246,-0.127998065077881,-0.165225573431796,-0.0598789916829149
42,0,0.0187232450833794,-0.0846200444737509,-0.155730540062042,-0.189899371203972,-0.216039900897635,-0.179240226691836,-0.136799547940847,-0.157777456842131,-0.0536469522920027
43,0,-0.00188212241555263,-0.101243807043436,-0.175784082599463,-0.194263865928643,-0.209122742749136,-0.15943152650948,-0.0673233407770996,-0.101794308393099,-0.0596110997139075
44,0,-0.00609051768949775,-0.114383277607617,-0.186512529058937,-0.207979642042951,-0.215169746967785,-0.166592034837078,-0.0617605889411181,-0.151192162520609,-0.0648102385890187
45,0,0.0085819330265644,-0.0989693597718978,-0.166967241077612,-0.189379130902376,-0.214837359765511,-0.162165517772049,-0.0854033033322613,-0.0827088402677744,-0.0508148380872184
46,0,0.017203420006461,-0.0923110326483474,-0.162107584142616,-0.19761490619937,-0.228752181278594,-0.169759724264306,-0.105038282321979,-0.0988191134962197,-0.050885146042057
47,0,0.0192420657841414,-0.102510537772505,-0.164582537140933,-0.199592298823718,-0.228288649108828,-0.17992285475136,-0.12914901656115,-0.17497293722523,-0.0578604503846826
48,0,0.00299623833395168,-0.107884748897542,-0.183123752578155,-0.201710717722019,-0.224522813915223,-0.168070536996588,-0.0754456197827369,-0.127805497592979,-0.0588154768639561
49,0,0.00983650594247809,-0.112340114977228,-0.176782769211009,-0.200865164084982,-0.227581162194709,-0.174306888097239,-0.0966493287717666,-0.119546340886738,-0.0572594267639005
50,0,0.013204791329934,-0.120763911645414,-0.176954799393529,-0.201337139126694,-0.225842231027259,-0.183037328151415,-0.118125904960188,-0.172629487069225,-0.0636939439222274
51,0,-0.0408394347594938,-0.0524402461252753,-0.100388078840972,-0.14682581377762,-0.217836290944676,-0.0701040237628334,-0.10035108786586,0.0208615809510082,-0.0368976543663236
52,0,-0.0318018527173209,-0.0470291119154759,-0.0851849312768973,-0.131825380038262,-0.175768144633403,-0.0581834411517429,-0.10177963844023,0.110607017543739,-0.0165913705427374
53,0,-0.0337375285618525,-0.0526742246899876,-0.0855152794150491,-0.143102846627231,-0.202737466859387,-0.0755758578462102,-0.10634407540945,0.0384266322871212,-0.018004361922068
54,0,-0.0345486427089404,-0.0552551070246242,-0.107909095031509,-0.133897421212957,-0.189312889902244,-0.0735063612476563,-0.107869546157319,0.105975288876878,-0.0265170277874854
55,0,-0.0340091851680542,-0.0534914840600675,-0.0883287754599607,-0.144830055384559,-0.202292198878829,-0.0798617897922039,-0.104076305690365,0.0440556418641829,-0.0164968735881779
56,0,-0.0334154456287937,-0.0439973406521922,-0.0704348868602659,-0.147981160627513,-0.186970708173457,-0.0700687212480872,-0.0762255094646457,0.00889450012416759,-0.0139561750313398
57,0,-0.0338568198189128,-0.0520668254513983,-0.095225012198162,-0.137058192161754,-0.187900874197438,-0.0743396598599374,-0.103271516292798,0.096906185067601,-0.0191323875430831
58,0,-0.0351742421266099,-0.0582662652673781,-0.113264762560171,-0.136430433945916,-0.196203078567472,-0.0849171307584564,-0.112207979542727,0.087585768016837,-0.0275643624282296
59,0,-0.0350776885153513,-0.0615028896573344,-0.118197728694703,-0.133133906182275,-0.190891248402914,-0.0889784541108264,-0.122113518260168,0.10290077060931,-0.0206096979277552
