Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,0.0184757426282096,0.0429166236128153,-0.0414445316661858,-0.22257514704425,-0.3293661178039,-0.261519480808441,-0.180195316520458,-0.0237263955009044,-0.0221039124634865
2,0,0.0226458929171598,0.0721495105339551,-0.0583260203678934,-0.203763665717501,-0.357499796170658,-0.251989669139744,-0.195368891896206,-0.000896345252408781,-0.0108795811034524
3,0,-0.00934721858821386,-0.0108057460229789,-0.0399812088645058,-0.244653904179084,-0.362850031673003,-0.235000162337951,-0.152902417320911,-0.0130113808336871,-0.030062770243947
4,0,0.0237306883611708,8.16211948861945e-05,-0.0529771406553007,-0.247150095441078,-0.315781148055489,-0.316269916864229,-0.202166594756464,-0.0604884128055516,-0.00528762211387623
5,0,0.0235154310856207,-0.000997045729194235,-0.0505501334812239,-0.222219960317173,-0.331958190158891,-0.300137348364037,-0.174352281776085,-0.0352778227661399,-0.00490427977092156
6,0,0.0312877180201654,-0.0564051649227277,-0.0363362901720357,-0.249396105938539,-0.291413316247874,-0.305847022917537,-0.168867309315583,-0.0564658549593238,0.00472969760930253
7,0,-0.00608238316728005,-0.0291121991850087,-0.0354376204811869,-0.237775999989162,-0.320153384934781,-0.284372689624584,-0.159203930483814,-0.0652661639698292,-0.0356688443258746
8,0,-0.0451208112847014,-0.0979662607148695,-0.0551485467279285,-0.273461874660026,-0.380053550817636,-0.287181693535494,-0.133969857233775,-0.0587696723748727,-0.034900273352295
9,0,-0.00120001317257357,-0.0913515199916588,-0.0425589604449748,-0.288977768180652,-0.30942086654113,-0.288292495178591,-0.190542384464292,-0.0728807175396948,-0.0154646951877735
10,0,0.0270575594310993,-0.087001503936076,-0.0408024373258462,-0.279010183999467,-0.29129083366235,-0.289617073830895,-0.186461007029742,-0.0637283510918107,0.00581972408475595
11,0,-0.0365819808569808,-0.0650118796646315,-0.0664688498802469,-0.255120141505164,-0.348317466119042,-0.292352748021126,-0.155426653416177,-0.0797896218697717,-0.0418052862119602
12,0,-0.0175331355082542,-0.116600383138551,-0.0519871723071605,-0.298305459501879,-0.328235563805294,-0.266314356639718,-0.18455590479523,-0.0647234271647175,-0.0231671633369757
13,0,0.0189800544503063,-0.0755249276989763,-0.0541177806755262,-0.274235098651675,-0.295084868023922,-0.274611109180536,-0.200969423508786,-0.0726487195799882,-0.00107907619793257
14,0,-0.0175025808708037,-0.0708334193642889,-0.078145530636506,-0.269959636851627,-0.323127320737688,-0.277818643537323,-0.19807860273999,-0.0895497880147499,-0.0249433953969762
15,0,0.00687721524164853,-0.0415169700730744,-0.0383121133085178,-0.230373476392373,-0.350725623161425,-0.277158290050601,-0.151382199996876,-0.0182140804283405,-0.0138575523032949
16,0,-0.0354864995967804,-0.0688968128034416,-0.0712650282205145,-0.248073230358478,-0.42300185970653,-0.281028050778524,-0.171501287402326,-0.024352524475874,-0.0274843571236262
17,0,0.0163781899692959,0.00824295652430362,-0.0293053173582853,-0.200993908693002,-0.361668252691708,-0.23166824023323,-0.146596928918328,0.0127234368403819,-0.0131121676143247
18,0,0.00102763021856966,-0.0340603437584328,-0.07922973614222,-0.227375238258794,-0.368376248857066,-0.311721910706888,-0.172412968776366,-0.0398847275914829,-0.00419848473407758
19,0,0.0120739961948562,0.0399519767185543,-0.0467085295778324,-0.216250099474903,-0.371972005876865,-0.21314251032494,-0.172394964244468,0.0152503266651154,-0.00772129583661962
20,0,0.0373018416116393,0.0118859540547904,-0.0524220892021728,-0.199750574861313,-0.310391512088564,-0.290139954554903,-0.162999867744026,-0.030073833593908,0.00592669865452811
21,0,0.0244470773861236,-0.0539529706733516,-0.058122864531041,-0.234690955739604,-0.317360788380876,-0.301294867975078,-0.160011557674828,-0.0435559264435776,0.00240894866378549
22,0,0.00183650972985872,-0.0712190048532473,-0.094897308632693,-0.237727314478917,-0.366569641790914,-0.324746647634603,-0.16141582458368,-0.0477238606075779,-0.000246138304734966
23,0,-0.00902788977699609,-0.145726041163983,-0.0959293833793288,-0.288164559169428,-0.35434206626585,-0.340936412996043,-0.16455970905421,-0.0801092171952535,-0.00917948027195714
24,0,-0.0282000975360334,-0.0401083499618214,-0.0648922540847185,-0.249320368968763,-0.396812719844622,-0.275017899461948,-0.173929855054939,-0.049663499299448,-0.0205897612852183
25,0,0.0315241704926181,-0.0542374499194685,-0.0467140197947892,-0.232560607730254,-0.287522624549331,-0.286506781292273,-0.158850523215951,-0.0532674404436752,0.00339222980446219
26,0,0.0177425355912255,-0.0993165935686104,-0.066623513575192,-0.259312106477911,-0.305765470832169,-0.293599379971507,-0.161535702387245,-0.0628337595575105,-0.00165540344895432
27,0,-0.0104359623287661,-0.175895448325125,-0.107166659725411,-0.304480224374443,-0.344532559519866,-0.329567103837145,-0.16366245298981,-0.0914295642253329,-0.01366878412068
28,0,-0.0312452812301512,-0.0773519016197235,-0.0561340290604133,-0.26567483177965,-0.376363704519999,-0.288434333916804,-0.137492472874095,-0.0611468746707992,-0.026564597736432
29,0,0.0351712113053897,-0.0441388207698971,-0.048068768838001,-0.228974726621411,-0.271881339495701,-0.28337518046577,-0.164000916310537,-0.0650985319012316,0.00465078271201347
30,0,0.0207776482175455,-0.0866923580863772,-0.0633135090992869,-0.252473067093325,-0.284661890697382,-0.27492852563811,-0.165511516955491,-0.0688059965498952,-0.000786002264323016
31,0,0.00839246980795405,-0.130371985804256,-0.0826019862455808,-0.278343608979294,-0.299345455660155,-0.281195885335756,-0.166727626015606,-0.0790178263314693,-0.00756859474013505
32,0,0.00135104135294939,-0.222870822837062,-0.0825945363860126,-0.324982029896584,-0.314348295609981,-0.29726855443165,-0.164182778822215,-0.0937894226284893,-0.0181273545202885
33,0,-0.0261531867987626,-0.0593398088447861,-0.0686517028255741,-0.274709504601243,-0.35058299826225,-0.254180265368814,-0.14134850479841,-0.0483502791334635,-0.0255577380622184
34,0,0.0268063025208405,-0.0561294548086695,-0.0629077007541196,-0.248943006692327,-0.276957932747247,-0.281695172795743,-0.182442862486149,-0.0806642114660107,0.000770578258835419
35,0,0.0207986676826104,-0.0779985762524283,-0.0682097496710438,-0.250011700909838,-0.269908121781692,-0.271267014356428,-0.173794625788792,-0.0834373633565747,-0.000277703565253362
