Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.0754819198954557,-0.0699949854255214,-0.194133590434279,-0.242555051982592,-0.197471513583474,-0.108542635742409,-0.089972008890095,-0.0280762677508274,-0.0187094935820843
2,0,-0.063315361187657,-0.0686894966485908,-0.170291580855563,-0.227118964308904,-0.182730179395096,-0.106028910327741,-0.0864190490124424,-0.0287413544968969,-0.022106232560766
3,0,-0.0582807252146682,-0.0523900081149316,-0.1735860297534,-0.229047592982153,-0.191382902263018,-0.102559415850423,-0.0801907696647698,-0.025209129997747,-0.0123382368235342
4,0,-0.0408216365689288,-0.0892850693801648,-0.141842586421451,-0.210834129327125,-0.173374011784998,-0.112757189101806,-0.075724348775529,-0.0333268377423017,-0.0452346092784387
5,0,-0.026104265228646,-0.0597133540349143,-0.119457417491721,-0.191708377127353,-0.162827371390743,-0.0957983820863869,-0.0767677329000112,-0.0327598662448766,-0.0287445177406279
6,0,-0.0088537487081618,-0.0751473465781347,-0.0942980907425406,-0.164896588983448,-0.166323865813591,-0.0938551308603461,-0.0556751575383881,-0.0389449026258103,-0.0365774452839905
7,0,-0.0373556733047473,-0.0367220619145026,-0.154999148903466,-0.217770676564021,-0.188546042948968,-0.0918232910021224,-0.079691095355615,-0.0275844695468299,-0.00738138573170055
8,0,-0.0634085320051911,-0.0628220227512444,-0.189388112509532,-0.246504383900648,-0.19944538159634,-0.108366080472368,-0.080603204021139,-0.0222077432911056,-0.0174591833936741
9,0,0.0084924670277271,-0.0774032333919134,-0.085674648629304,-0.17907766212184,-0.173604631313709,-0.0950338272262752,-0.0445820147755939,-0.0377796152401016,-0.036837033682748
10,0,-0.0563177966825619,-0.116967509986379,-0.154522419862863,-0.206147577769901,-0.183766547072868,-0.117176691865529,-0.0704475416341452,-0.0407579866888959,-0.0523071220148884
11,0,-0.0739714658391385,-0.0750368984574475,-0.207535128847771,-0.268458093040103,-0.208475625102732,-0.115838985699185,-0.0851917910449038,-0.0210368226632131,-0.0232810476708951
12,0,-0.0497827000580027,-0.0459896945891393,-0.170603552976059,-0.229613580387295,-0.19732316770425,-0.102906116377642,-0.0689957003028387,-0.0229068776474354,-0.0145121579208862
13,0,-0.0235235307757051,-0.0536196544463077,-0.14628273920707,-0.227359049612199,-0.188378936101154,-0.098621674523481,-0.0728128987619824,-0.0266146685168696,-0.0193400231280499
14,0,-0.0122702735312619,-0.0700981075766217,-0.123770164591619,-0.211461998293698,-0.182860139315786,-0.0987753051365677,-0.0651902736987802,-0.0343111920076185,-0.0294015351155361
15,0,-0.0374307528275684,-0.0765703250588958,-0.153469250702504,-0.229960079396775,-0.187128238801182,-0.105190665792566,-0.0858236302834819,-0.0365148949865103,-0.0316082708611165
16,0,-0.0474668877484784,-0.0837454437185871,-0.157784547869752,-0.226256627264727,-0.186211943003793,-0.107889056462545,-0.0930194976441464,-0.0414852592605167,-0.0363140344643749
17,0,-0.0612335571252542,-0.082595607111553,-0.163966714293813,-0.207153832106458,-0.181526047108187,-0.105836042455098,-0.0930389308009536,-0.0410537902466188,-0.0352599321216958
18,0,-0.0392123561477054,-0.097931228711707,-0.13325385479687,-0.197795838234833,-0.179497820512237,-0.114384482276229,-0.0809071209994771,-0.0494114439683994,-0.0501949228727622
19,0,-0.0276636170325316,-0.0700842795279077,-0.11533752274818,-0.180854060402353,-0.170203557104696,-0.100317716644683,-0.0877393897976405,-0.0476675332018783,-0.037363282649867
20,0,-0.0089954258947671,-0.0812893324525793,-0.0879701228966319,-0.164468219078454,-0.173630072797256,-0.103719574058284,-0.0705241191536436,-0.0559960789728534,-0.044703331088052
21,0,-0.0316468059363456,-0.0383186174266746,-0.151219319398915,-0.210496845114607,-0.190125855746165,-0.0962938836597091,-0.071667557307551,-0.0286471312236879,-0.0183632085747238
22,0,-0.0583922960190308,-0.0371371367708057,-0.184721594589656,-0.239414156790259,-0.19566756812467,-0.105367077610249,-0.0829264167661802,-0.0231998613564375,-0.0175332846230047
23,0,-0.00919026383019983,-0.0469326735671247,-0.130588509288221,-0.209670950671012,-0.189665874581862,-0.0915982316266375,-0.0629696401660657,-0.0299355044148114,-0.0173849105119577
24,0,0.000191385579100256,-0.0519306894786857,-0.120053438472332,-0.214835847905146,-0.186578211398229,-0.0912343678976347,-0.0673007282303015,-0.0328706525941057,-0.0179171514509973
25,0,0.00017241908891874,-0.0530606136041198,-0.114927407452862,-0.209062218850378,-0.185597776623984,-0.0902158880383913,-0.0729419608657804,-0.0377489062222887,-0.0189104035306715
26,0,-3.93662450663967e-05,-0.0541405094419964,-0.109283989075734,-0.20169056651876,-0.184889125569744,-0.0903151800961642,-0.0785965151548942,-0.04304392909343,-0.0209765553311746
27,0,0.00435119991915034,-0.088327411234009,-0.0840302078931892,-0.177114978804156,-0.182556110895521,-0.102802667328199,-0.0534250458235481,-0.0547279648860088,-0.0412821195311343
28,0,0.000378826307968483,-0.0909453431697475,-0.0794639895995868,-0.167281421254194,-0.180898265991946,-0.104596054421652,-0.058933928025138,-0.060418308385203,-0.0444638665600604
29,0,-0.0305030047650857,-0.0444234687778777,-0.150078471511303,-0.20457328310879,-0.18787811461712,-0.0976883654130163,-0.0673073991541256,-0.0288066843359852,-0.0233166848132931
30,0,-0.021934413679617,-0.0480048236946202,-0.1447003580458,-0.206219182040973,-0.191266751423098,-0.0944191667005064,-0.0707729091545124,-0.0310707701817226,-0.021180843174053
31,0,-0.0105619071548603,-0.0562752380495665,-0.134688409619975,-0.213871354489785,-0.193824754094877,-0.0925815181061901,-0.0676384561281181,-0.0335842848661705,-0.0190025360689361
32,0,-0.00197206196275013,-0.060991824131804,-0.122315062839415,-0.217691354857991,-0.190343383902696,-0.0940017034070374,-0.0732105310073504,-0.0387125314981422,-0.0209795159587929
33,0,-0.00206599566878929,-0.0622492323619231,-0.116209760154897,-0.20996839553365,-0.189667668473651,-0.0942257659886531,-0.0788613488053903,-0.0443051045016961,-0.022932913015229
34,0,0.00390435517939469,-0.0950651458692551,-0.0894167956570794,-0.185913468666248,-0.187501346909525,-0.105855611840054,-0.0536889196181674,-0.0558383009340583,-0.0421374728815002
35,0,-0.0205267566126413,-0.103910766814859,-0.107061449473951,-0.183280642799321,-0.184564912294025,-0.115599636274098,-0.0723810543962451,-0.0605404210531837,-0.0523826307214181
36,0,-0.0382219588055537,-0.0602621763314084,-0.171132297555148,-0.228138187686356,-0.198682467367691,-0.0997836612202556,-0.0734409887901165,-0.0281675469089236,-0.020551220175464
37,0,-0.0331503663330359,-0.0641345643175254,-0.168306323091619,-0.24108826147932,-0.201536852444576,-0.0989956367484843,-0.0806740348798038,-0.0317732192822989,-0.0176270263395583
38,0,-0.00413765323233728,-0.0693475732396437,-0.129564354730908,-0.226292078836875,-0.194856455823686,-0.097863913758128,-0.0732972504839439,-0.0396518238793776,-0.0230742112447755
39,0,-0.00410277691187899,-0.0707715272720065,-0.122970743924203,-0.21819435967016,-0.19422524331487,-0.0982023761659564,-0.0789234993393452,-0.0455256833193168,-0.0249155220006139
40,0,-0.014908914594135,-0.0919391538446985,-0.121800584265243,-0.209951185033287,-0.193696135233027,-0.107233209227056,-0.0761489056884441,-0.0536911864206221,-0.0384551740399846
41,0,-0.0264965579886048,-0.111322540368896,-0.121992486207551,-0.197724796769326,-0.19060093284021,-0.120937171643919,-0.0754554816885856,-0.0598094919814258,-0.0547171421806378
42,0,-0.02675743293217,-0.106207215306726,-0.109805812697728,-0.177592776491565,-0.186237965521794,-0.12227623265753,-0.0825077431452844,-0.0662478748506271,-0.0573076649187052
43,0,-0.0345137835367652,-0.0660745881573461,-0.168483554838483,-0.225276030497371,-0.203233944359625,-0.0991703918664764,-0.0781495072865367,-0.0317641960758891,-0.0218271785736019
44,0,-0.0325156458512266,-0.0742337943691144,-0.170409483597133,-0.240902880752548,-0.198907680574277,-0.106083726410684,-0.0710393331458532,-0.0280570919662404,-0.0251759405723841
