Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.0683944086034098,-0.168538162483286,-0.245044430054551,-0.253396377594998,-0.26641896570152,-0.191503477272637,-0.116825072900465,-0.0609470174880437,-0.0763079688918821
2,0,-0.0674152175562553,-0.17324610898797,-0.273090899448912,-0.253994973702971,-0.279625415167975,-0.221469647051284,-0.149668163071924,-0.0922609032317431,-0.0753967946873368
3,0,-0.0570379867939395,-0.167304245609968,-0.243941560402245,-0.24149912502499,-0.260676446126498,-0.201754429666319,-0.124468625965413,-0.0708223163056811,-0.0743828134186608
4,0,-0.0790585234166669,-0.172372858418762,-0.273538253038455,-0.258017844968449,-0.288800642724986,-0.220834575390457,-0.167946339342986,-0.116028905631683,-0.0966242770869521
5,0,-0.0876125975580546,-0.178445047694182,-0.28459823943343,-0.263607622816345,-0.293530772569302,-0.226222980599601,-0.169159570699462,-0.115260749951338,-0.0940627168307961
6,0,-0.0887687012040647,-0.192099202934579,-0.276787249997385,-0.272426778514942,-0.322450010670556,-0.28207806910526,-0.17352221297328,-0.121571398556056,-0.107005872046889
7,0,-0.0809694575463169,-0.18898146588517,-0.296744907384411,-0.276431917851523,-0.301450812543444,-0.26059408889526,-0.175767189843422,-0.116893474843436,-0.0922626408876154
8,0,-0.066550182579424,-0.21613839072305,-0.272673386116616,-0.278214281555226,-0.362311584135449,-0.404064402271083,-0.155110355711932,-0.0997777600646476,-0.0828656763302833
9,0,-0.0622506540302242,-0.165714738832618,-0.22897544487909,-0.238243182987334,-0.256294075447331,-0.191035354762439,-0.120844503831107,-0.0745258873391482,-0.0876808829926248
10,0,-0.0355666697008816,-0.161733733347453,-0.23417488861671,-0.229004283718843,-0.239878960761088,-0.208080877294148,-0.126277118093204,-0.0739396887024844,-0.0740757366680049
11,0,-0.0438736903336846,-0.164949267516624,-0.261428448598202,-0.248527416509703,-0.260276328223129,-0.221513109606065,-0.153075118902463,-0.0945673508839178,-0.0785316731410114
12,0,-0.0411330348072858,-0.167072583560385,-0.278481245455024,-0.258664549317068,-0.263205443515755,-0.233461066253115,-0.172188003999959,-0.112093769370803,-0.0771195241194614
13,0,-0.0521299954440404,-0.194181736643709,-0.271476793886737,-0.274922851129957,-0.326245536025368,-0.327014072759717,-0.165820996487335,-0.111891833612238,-0.0816529498968388
14,0,-0.0523681181469127,-0.214432826614526,-0.257871031905122,-0.274711068304685,-0.381048777608425,-0.425525157997871,-0.149752054870958,-0.0960708246795043,-0.0744707772751806
15,0,-0.0338463459625549,-0.159707760044264,-0.233447787437772,-0.239691341539034,-0.231915551862912,-0.201869802473609,-0.12234141206312,-0.0660345722761251,-0.0745984121942787
16,0,-0.0520623684084324,-0.161075865999973,-0.216221813249266,-0.223252606256691,-0.23992958186611,-0.193505256158167,-0.127308976398298,-0.0884888937950137,-0.0985284365562976
17,0,-0.0319752135840852,-0.159309625051762,-0.261110261860149,-0.244109822033367,-0.2560274088111,-0.226805173273903,-0.173277407344971,-0.119066100002242,-0.0856992706846725
18,0,-0.0403437281320307,-0.162150897010354,-0.267879980657952,-0.254881744621485,-0.261670456385842,-0.225241538365131,-0.177137279778244,-0.124414112484766,-0.0893705053244687
19,0,-0.0482033462287341,-0.187533469616189,-0.261852174942723,-0.27111294667316,-0.326869010894098,-0.312974851208932,-0.170227288241062,-0.120518979501191,-0.089007375142119
20,0,-0.0468299491971114,-0.198870874336139,-0.248994178927036,-0.276502441304491,-0.375815205803775,-0.362785232591187,-0.138601257723536,-0.0817744494253279,-0.0606656468677412
21,0,-0.0610353818706962,-0.161252477431251,-0.205269696791832,-0.219660856931772,-0.241235020814135,-0.18331690015508,-0.130735843222456,-0.103279493570697,-0.113433013251877
22,0,-0.0405599547382751,-0.160838333854451,-0.19650656115445,-0.221065626221016,-0.212917727285426,-0.178092301727269,-0.0939329320008894,-0.0640926430234429,-0.0863348027859969
23,0,-0.037309891245463,-0.155314944583186,-0.234038378829416,-0.229672569299749,-0.249044874972184,-0.208505037510845,-0.15967541490981,-0.117443189619241,-0.101688482596884
24,0,-0.0317807038538532,-0.154585713904031,-0.250291621716856,-0.240847220059736,-0.25443105351569,-0.217238408361914,-0.177415885587819,-0.131341120699099,-0.0972488850357801
