Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.00857651784719582,-0.00189519999628995,0.00124418285542083,-0.0655374160627951,-0.282344744176228,-0.232471156514938,-0.291306737712744,-0.281314010666738,-0.205431446087683
2,0,-0.0140590247447564,0.00321647933948954,-0.0239127824353105,-0.073783442033926,-0.336923575258151,-0.225544302929752,-0.326755845996836,-0.317890589383919,-0.199258569348481
3,0,0.00820792400417258,-0.0267043062519926,-0.00585434587564304,-0.0761165531156304,-0.347056206909103,-0.184338868010274,-0.279397529833884,-0.239412915076461,-0.0812561583987985
4,0,-0.0220278548316732,0.0233398067074526,0.0100286120161583,-0.0512554957719605,-0.213337732954381,-0.284364596106079,-0.299421730486966,-0.31378827485289,-0.348646343081943
5,0,-0.0165081100873808,0.0118135089264062,-0.00770525670138655,-0.0706460644961333,-0.25842281499013,-0.271405623938648,-0.3052865985703,-0.293778231537401,-0.281194773870474
6,0,-0.029106204244394,0.0140323785423504,-0.0118940638954276,-0.0670091133578158,-0.221978293121084,-0.286748370602534,-0.296069748723732,-0.306528362665572,-0.330431960002384
7,0,-0.0265152921470665,0.0120513112737857,-0.0147695215404064,-0.0726657055303999,-0.225250954315774,-0.290392489178384,-0.294472172876778,-0.286622875067558,-0.311745700652334
8,0,-0.0352263278831678,0.00435268260250976,-0.0335591568152055,-0.0832039117688395,-0.230549632048591,-0.289419473837187,-0.292760011314288,-0.297370399557772,-0.309005993782608
9,0,-0.0327609590874034,0.00217152070301463,-0.0365671226702047,-0.0894606434583,-0.233691756637033,-0.29271132184748,-0.290816855250346,-0.276217458853348,-0.289092970175476
10,0,-0.0403598466590539,-0.00567301980326695,-0.0548742158558138,-0.0997707529133812,-0.239078130503394,-0.292420856660906,-0.289536905261419,-0.286885095772944,-0.285571494130152
11,0,-0.0380689937593512,-0.0080391462927224,-0.0580014564294189,-0.106593274772961,-0.242093389673944,-0.295371258046164,-0.287224254942939,-0.26467820715619,-0.265020136813261
12,0,-0.0328454037391691,-0.0183988486946954,-0.072627558444527,-0.123689311706108,-0.23127292125439,-0.369852351966478,-0.311236537028033,-0.343458433388441,-0.309586213985927
13,0,-0.0361112345938711,-0.0161637319457542,-0.0619674721607423,-0.112204366625486,-0.200303469716568,-0.326547765328823,-0.26803642746257,-0.248706774159562,-0.264553268677217
14,0,-0.0375611626535023,-0.0292711697971672,-0.0946668554102829,-0.142382785700639,-0.245184271372589,-0.354954972494177,-0.30265760208395,-0.306061093094114,-0.261123598256226
15,0,0.00212652724123097,-0.00325719041032946,0.0269539366077327,-0.0515656440386428,-0.222678071800302,-0.240569802267074,-0.254880143496005,-0.237595044785568,-0.207306611515314
16,0,0.0246471309686238,-0.0362469601320511,0.01286560812285,-0.0891143071160365,-0.32217381652642,-0.197322056799286,-0.272193682813487,-0.211422440713102,-0.0773199237380172
17,0,-0.01817910886365,0.0302187339796989,0.0400282708775952,-0.014546360354225,-0.12495491421491,-0.284905364680251,-0.23543666446371,-0.255932790188398,-0.359115686364025
18,0,-0.0258460871589825,0.0209662279091796,0.0185433787615357,-0.0287119709317771,-0.129096925566372,-0.283232918728178,-0.230264597832362,-0.246650063115311,-0.337376580256734
19,0,-0.0323540811457197,0.0114247609162468,-0.00263300200095762,-0.0435232926680188,-0.133534871595906,-0.281900014849628,-0.225481608272699,-0.235597029402825,-0.312050935653105
20,0,-0.0376643207132162,0.00162766307291107,-0.0234213740051428,-0.058928169236889,-0.138301621121121,-0.280959453817177,-0.221101346287827,-0.22330877457029,-0.284426177105969
21,0,-0.0361544531279131,-0.0126517139258191,-0.0568753425583226,-0.0935003329017159,-0.175227809845075,-0.324457849606571,-0.25581536965423,-0.274790038795752,-0.277956263496274
22,0,-0.0473354967956534,-0.0245122761912547,-0.0914036710643263,-0.124145686052272,-0.234573861770545,-0.293994852640133,-0.271164734244767,-0.262025950591334,-0.2374783907683
23,0,-0.0374330322129758,-0.0367183044267136,-0.11090470421411,-0.151451142468287,-0.248033581664287,-0.373609053388316,-0.312148699114716,-0.325156708792432,-0.257996163514011
24,0,-0.0412919844555313,-0.0352618973282506,-0.101226280862001,-0.141600069999839,-0.214777855119945,-0.326111455436633,-0.26455559757509,-0.230316048738015,-0.208170318598452
25,0,-0.0284736944050533,-0.0364376927466746,-0.104111031234056,-0.139088209373695,-0.178500393697649,-0.384784571481752,-0.267549272671747,-0.258440114066158,-0.215148872472676
26,0,0.00864457551538567,0.00845817556211559,0.00388085264438187,-0.0433720384876196,-0.227204928673237,-0.302597156260833,-0.257833244311153,-0.267045488383855,-0.258857147435976
27,0,0.0340365106317333,-0.0150185717194874,-0.00755642900740838,-0.0778280921660714,-0.312440130778388,-0.284590343089589,-0.28160025036275,-0.245923079702255,-0.148144214422815
28,0,-0.00696078691897162,0.04350594354227,-0.00478141769179052,-0.00174419828841399,-0.147962697899517,-0.387229006105312,-0.231487479101959,-0.297432020158679,-0.437404663641676
29,0,-0.0174453891197781,0.0147251991609341,-0.00845965156234818,-0.0418608929477551,-0.170207709377133,-0.299297701249467,-0.237711781656515,-0.262799375104537,-0.306588185898688
30,0,-0.0326148704061985,0.013726625882116,-0.00773831921672741,-0.0424834247178221,-0.135510194281649,-0.279128319008657,-0.227439361529812,-0.245970990839137,-0.312443464273751
31,0,-0.0376244907435591,0.00422169883885415,-0.0278585563787185,-0.0572843732500951,-0.140417239006464,-0.278300874631492,-0.2232206371809,-0.233808614533383,-0.284202834959951
32,0,-0.0413767109047586,-0.00551465948856389,-0.0474820273912824,-0.0726326925503399,-0.145662639843582,-0.277895421957328,-0.219425539815821,-0.220950848579209,-0.254864387592232
33,0,-0.0438448891545244,-0.0154400612428731,-0.0665202739691521,-0.0884669598418337,-0.151257438461954,-0.277949150720964,-0.216061168073066,-0.207879487455691,-0.225285389563277
34,0,-0.024105472876893,-0.0250486814779086,-0.0858981054536808,-0.111221617235761,-0.151163852839482,-0.399262034865052,-0.264670711966228,-0.29881443266449,-0.256381418592449
35,0,-0.0309520098840794,-0.0411040286966339,-0.11909751481953,-0.150017213354441,-0.214000721334872,-0.388109241935617,-0.290779674741564,-0.297772024259192,-0.21828534031719
36,0,0.0236221954882863,0.0318017035381541,-0.0399676965429846,-0.0263158357171874,-0.24095219304893,-0.444010084032192,-0.258274600833261,-0.308255423890738,-0.354602106874992
37,0,0.00708345800455823,0.0182605624628815,-0.0361209322324139,-0.0473248467783707,-0.232601509356998,-0.356469390568971,-0.254723998840633,-0.288949516581274,-0.293695150227073
