Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.0935571774587983,-0.0831525613418576,-0.0890126099247258,-0.190363500684869,-0.195692910997668,-0.16922982377236,-0.203155916381261,-0.182464467265361,-0.127687200451333
2,0,-0.0778836622462549,-0.0805763802838418,-0.0846882292031933,-0.181054910453681,-0.172632609557001,-0.138063765485291,-0.150731582548031,-0.135375882618623,-0.0774285125176548
3,0,-0.0622578062541456,-0.0825189623861485,-0.0844500697582153,-0.19574061069717,-0.193836304571006,-0.160525478755752,-0.147498653508024,-0.111502871426787,-0.0639773203229351
4,0,-0.0884935314798121,-0.0526491741250675,-0.073361815573698,-0.152747087200161,-0.140196869707001,-0.13689136142466,-0.139708326482315,-0.131363590222189,-0.0781409207130127
5,0,-0.0666945879232094,-0.0861568627233096,-0.0827303218174282,-0.205278527672333,-0.213598259426694,-0.185056196809063,-0.170226454912521,-0.128322932880864,-0.0815562695722326
6,0,-0.057075727179724,-0.0697227424968685,-0.0779613750718708,-0.199206842424195,-0.190967859060696,-0.160485879555929,-0.140637211792333,-0.107383606902041,-0.0668767702303407
7,0,-0.084291368874913,-0.0463622402713258,-0.067303710040642,-0.163244713205518,-0.152991616722704,-0.146159969443749,-0.152895485805466,-0.142046998593244,-0.0959077759501096
8,0,-0.0934024957220478,-0.0436895834383964,-0.072165261497983,-0.144515836735002,-0.12784197217461,-0.136689836592341,-0.141390759489756,-0.136936688752758,-0.0852436900657149
9,0,-0.0597593369793344,-0.0722637156493759,-0.0767537348779892,-0.207796782547571,-0.210314929359877,-0.185358887533972,-0.16261298606375,-0.124420459336097,-0.0852316985551217
10,0,-0.0524212665948676,-0.0380447656081134,-0.0660168225156276,-0.185482864620715,-0.164281536692379,-0.15620621486931,-0.112634142281075,-0.0835510690782201,-0.0541877532742746
11,0,-0.0602958309666509,-0.037808570016701,-0.0544659504569924,-0.17097303856997,-0.163145916335181,-0.161006526569102,-0.116454638506842,-0.0849698647348965,-0.0477006863188119
12,0,-0.0840514615107902,-0.0236369527481199,-0.0570952925635884,-0.144616631386986,-0.126216135543707,-0.134762591565969,-0.133039879982155,-0.129467783286307,-0.0841382173481339
13,0,-0.0988439909721369,-0.0837985410720481,-0.0800469200012099,-0.182811170423971,-0.175573652570953,-0.173043512362145,-0.176952019592809,-0.156596946593709,-0.0916482122066364
14,0,-0.062190541515685,-0.0339848643291911,-0.061467334715145,-0.175825608260158,-0.170091147384315,-0.186989165036801,-0.128167580641329,-0.0908535157969529,-0.0647665554703094
15,0,-0.0576331137412723,-0.0305732301818499,-0.0636387391351012,-0.182625344754744,-0.163386376914663,-0.173798800052898,-0.118995109986486,-0.0863037587751293,-0.0613656269007146
16,0,-0.0605822972215185,-0.0183906413364534,-0.043999421728567,-0.157608834203572,-0.142529693581984,-0.154492012295499,-0.096332066877206,-0.0686314839899548,-0.0323322091179794
17,0,-0.0789571365540999,-0.0416833227516086,-0.0576174691723472,-0.165901011765697,-0.156521842463497,-0.165956677134741,-0.135695679847972,-0.11127386392774,-0.0640232356892272
