Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,0.00839724084517934,-0.100984508397614,-0.229621467738629,-0.239731794042068,-0.266063539212254,-0.255906203292667,-0.246074564851457,-0.0983551650258662,0.321375679030447
2,0,-0.0283340378508227,-0.123392982261245,-0.304680208749176,-0.281284561347812,-0.307545103397082,-0.294674418008664,-0.317342971353281,-0.127685301900185,0.12781008557939
3,0,-0.00886238721515964,-0.0883432635374298,-0.304906730139782,-0.289731795078652,-0.292785717635541,-0.28717033441289,-0.318764945451488,-0.110360344552103,0.104757004245984
4,0,-0.0161832866268548,-0.0964075878850209,-0.252041527953757,-0.250550440575532,-0.291302296587469,-0.285238974644392,-0.272221979995706,-0.112542850966911,0.208136965311824
5,0,-0.0199368411546607,-0.109600248360822,-0.284757461395974,-0.277064333289662,-0.304904480061473,-0.289737166969274,-0.298258961370327,-0.116768860158569,0.137374957324799
6,0,-0.0223772754348485,-0.0994937798852473,-0.269083569251392,-0.268358938325294,-0.302500677555116,-0.285727323560523,-0.283851120095642,-0.11388913876906,0.155371776732177
7,0,0.00602416159001073,-0.0938617325556157,-0.180282994043535,-0.224874864523832,-0.260247810268789,-0.221008689006677,-0.19232083243804,-0.0865161342426898,0.3693648478689
8,0,-0.0165956944285118,-0.117464713012671,-0.221827994219032,-0.248233374818109,-0.286421989026305,-0.243592132946707,-0.241060387337955,-0.105719195345214,0.215167346930123
9,0,0.00256191991086241,-0.113530273818672,-0.234530124985921,-0.266595460826154,-0.288491568990336,-0.24144775826672,-0.240013812296551,-0.0888159279571068,0.207661471056607
10,0,-0.0160376689002472,-0.108245946356482,-0.198789941553911,-0.235109138616028,-0.272677498201526,-0.235258590101096,-0.219784090764157,-0.10878475803562,0.287656622338549
11,0,0.0189213265798942,-0.0750379291793376,-0.241542819143739,-0.266788935029128,-0.267503439930251,-0.241938614274881,-0.258097982180434,-0.0811677280151188,0.110292298836959
12,0,-0.00570078366837934,-0.0914395104346283,-0.248391673494363,-0.262091239859417,-0.290189862831415,-0.252017117656104,-0.267347366978988,-0.0996228811975426,0.0616367703578828
13,0,-0.0255849639999577,-0.0936073238331868,-0.273966358118001,-0.270640196880525,-0.298708842670189,-0.291565112225164,-0.294013869961259,-0.122088425901212,0.147107151089986
14,0,-0.0282134532326328,-0.10963027556058,-0.236036784995487,-0.251647934340289,-0.274782522145183,-0.259144861145823,-0.258397185420785,-0.122581609272524,0.233008289949369
15,0,0.00247144263941235,-0.113834282400517,-0.185332574614435,-0.234125681343177,-0.26125909639214,-0.21726205049732,-0.202441886701518,-0.0942692369981026,0.317746843245128
16,0,-0.0113643258080043,-0.102447842693105,-0.184098198877448,-0.232130685505942,-0.276979403573856,-0.23181109260071,-0.219516949865581,-0.107014000371969,0.170451794272664
17,0,-0.025864791641972,-0.0770748741657794,-0.223330559221621,-0.242105636482496,-0.297702083061743,-0.268966809968833,-0.253539683922103,-0.124333002670853,0.158570179389086
18,0,0.00861170004527168,-0.0924430206178443,-0.249365291828712,-0.27880436339951,-0.283730333953415,-0.240500469806719,-0.265179075041994,-0.0859692514296293,-0.0237308602119676
19,0,0.00163367822396587,-0.0866944072755318,-0.264327795165821,-0.284570103396357,-0.280793503978804,-0.251639152143625,-0.28231174060654,-0.0893822753542615,-0.0469732092594367
20,0,-0.0174976939297382,-0.097731576913766,-0.2870135101054,-0.287320452496829,-0.301419543400798,-0.287086232335084,-0.300692466118321,-0.119103257715684,0.11559610400749
21,0,-0.0208680048072006,-0.121306686291874,-0.253795268243517,-0.272108304870687,-0.280142961593091,-0.263414978728237,-0.270458705685592,-0.119844833244567,0.189513963319535
22,0,-0.0223293778537708,-0.129225568547152,-0.226101387302095,-0.258450296131301,-0.268347680175049,-0.245421239542984,-0.245146801635173,-0.119619232363613,0.238547550698651
23,0,-0.0148306466967497,-0.09719062412596,-0.226611992931193,-0.255140690402547,-0.299171243892872,-0.263180631944555,-0.251841622956776,-0.116179371895291,0.139072533285762
24,0,-0.0299677308404241,-0.0633065453134024,-0.230351682101911,-0.244093971823757,-0.306218056984129,-0.279206242818346,-0.264009638028912,-0.136412224732983,0.119435408292365
25,0,0.00696408943192495,-0.0935379610871927,-0.250350618901632,-0.282445417707663,-0.283086349625737,-0.247899747975265,-0.268675277125482,-0.0889789817365741,-0.0418587292608299
26,0,0.000282617856738998,-0.0874126812507854,-0.264870290618775,-0.287639549464812,-0.279482454614282,-0.257767727390239,-0.285494146257838,-0.0927712928766256,-0.0581772142523896
27,0,-0.011260414376875,-0.10072766780154,-0.298735233696867,-0.306780766841037,-0.30428541564445,-0.291431935884722,-0.306963463813041,-0.112435228600699,0.0496896577786781
28,0,-0.0102628722278927,-0.108956058644786,-0.282201083474051,-0.300095261584342,-0.30625527287052,-0.284678916477277,-0.28859082907504,-0.108955408038557,0.0699884301814717
29,0,-0.0101717309736903,-0.117501919769249,-0.266220544764012,-0.29339288890144,-0.308577525796853,-0.279866304354543,-0.271588225126875,-0.106693899330257,0.0952707839907179
30,0,-0.0204745180248044,-0.0893711565479247,-0.249024380678807,-0.27072201559408,-0.311093714277432,-0.284269655789948,-0.268455578801461,-0.12541498404373,0.104989128887737
31,0,-0.0341268946397908,-0.0634844213892128,-0.227721896366312,-0.248355597943122,-0.302326316986035,-0.277743896170004,-0.25922410258393,-0.143558877053938,0.121443897461591
32,0,0.00546629569862622,-0.0944990469507586,-0.250287106693913,-0.285355428588522,-0.281661677300593,-0.255383763187541,-0.27133303090512,-0.0931956847773738,-0.0514193922460788
33,0,-0.000878652979271366,-0.0880316241284601,-0.264337617539107,-0.289954577062654,-0.277379763594892,-0.263938918963355,-0.287819354804989,-0.0973903115456345,-0.0615788634815174
34,0,-0.0141548575471597,-0.0987320734857737,-0.296480462683034,-0.308439343911601,-0.299771800000043,-0.295376628052595,-0.306152238875122,-0.115794449047054,0.0425377319778946
35,0,-0.0134176206328416,-0.107361692577326,-0.280004116076102,-0.301962260342778,-0.301973371079567,-0.289348069684232,-0.287674286749124,-0.112782461731235,0.0661953072970036
36,0,-0.013563779180581,-0.116284990489873,-0.263978605096427,-0.295405027540728,-0.304486153650049,-0.285159053471697,-0.270476891382475,-0.11098266048319,0.0957360571733481
37,0,-0.024126103193427,-0.0886824595438207,-0.246183976130904,-0.273738054102999,-0.306954290013787,-0.286508290808408,-0.265012757073826,-0.131257526850137,0.109692767159116
38,0,-0.038233930724466,-0.06378044163942,-0.224218683791714,-0.252076634951032,-0.298079447966267,-0.276100193525421,-0.253440070604504,-0.151780885428956,0.1321057551395
39,0,0.00416538358890994,-0.0953457238449754,-0.249175572194492,-0.287483593336156,-0.279446186368319,-0.262981632385983,-0.27313635378882,-0.0986252264601628,-0.051338598356463
40,0,0.0137851129681414,-0.0896995571662559,-0.227854054066233,-0.27258848867986,-0.265682935081035,-0.25563532138862,-0.261398118596334,-0.090935561129613,-0.0299317299310536
41,0,-0.0169006253094527,-0.0969439495712625,-0.29306530195216,-0.309341273094036,-0.294458597391912,-0.299532079061726,-0.304380780964153,-0.120347343451977,0.0471836886639245
42,0,-0.0164167679229944,-0.105945732333917,-0.276709899694966,-0.303109930269487,-0.296951265545741,-0.294278569871447,-0.285867588533736,-0.117807251841658,0.0757257537532874
43,0,-0.0167904975954158,-0.115216837891836,-0.260706287043808,-0.296733561891467,-0.299711295163347,-0.290756405347354,-0.268539680329986,-0.116468166491931,0.110656505390667
