Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,0.0019560378113157,-0.101523208087837,-0.182530359772099,-0.186929839587816,-0.181942112153278,-0.0246450043224709,-0.054187182570028,-0.0389725445566586,-0.0137744435282681
2,0,-0.0431993517401039,-0.11031471454899,-0.181993428654871,-0.187937483496966,-0.181116787850845,-0.0500778412478902,-0.0855106916237159,-0.0721564479947374,-0.0340411802744961
3,0,-0.00713895492058614,-0.106286238595321,-0.194272751923132,-0.197686665676611,-0.185763132031168,-0.0370880520565382,-0.0616934177825189,-0.0458555546316898,-0.0192583650565722
4,0,-0.0485503576253929,-0.131558655901428,-0.169162385722237,-0.148986944398829,-0.175828828085892,-0.0570165893500819,-0.108335524533674,-0.103241189526925,-0.0657691258733746
5,0,-0.0843614888080987,-0.11927996558244,-0.187060172633521,-0.18553232246863,-0.190482870840481,-0.0572895453647525,-0.0957633653846833,-0.0922983652568563,-0.0618847248641451
6,0,-0.0831729962536266,-0.134898543556734,-0.18179024802262,-0.165104781850317,-0.185738661280828,-0.0641318776690298,-0.101845579286855,-0.104151832096203,-0.0787041860186682
7,0,0.00219872251993958,-0.126685024249095,-0.177386005806117,-0.169904088862313,-0.201214598472354,-0.0220117389241933,-0.0529095091493093,-0.0497269998533176,-0.0428360508927065
8,0,-0.0546260881070838,-0.117814653881848,-0.217486930160074,-0.216107631031315,-0.216893378245917,-0.0565348030497012,-0.0754965946226354,-0.0702479738152489,-0.0571827102978797
9,0,-0.0477829885126561,-0.107301215917629,-0.208924674300093,-0.215335922221945,-0.215138794837517,-0.0388548129951062,-0.063049454915625,-0.0624971525090228,-0.0543090238395268
10,0,-0.0787676723386914,-0.118640961935743,-0.199277674460864,-0.194168859017064,-0.197571414957663,-0.0704395845141985,-0.0995799282528171,-0.101615704682222,-0.0774973249982868
11,0,-0.0702430447143381,-0.135804646284784,-0.179106461217532,-0.157179508374908,-0.178590234426742,-0.0712445646195804,-0.106803830716849,-0.111304697464925,-0.0842808509490913
12,0,-0.104061823472598,-0.146990224983091,-0.20478389219634,-0.187813157736635,-0.197251845305805,-0.0794716067862314,-0.0981949815405934,-0.107291500412016,-0.0936904561766819
13,0,-0.0441027419864951,-0.113749315937628,-0.225599843586464,-0.228343288459303,-0.233902146071846,-0.0371588961827042,-0.0424419603882622,-0.0446422764078662,-0.0569011576361094
14,0,-0.0514604197350232,-0.0956172450429011,-0.22505884637336,-0.233280912225692,-0.21655829944402,-0.0432295596105873,-0.0507845348879158,-0.0520846923378184,-0.0525723632485259
15,0,-0.0917787265261831,-0.103163276906409,-0.215168688520518,-0.220405350907027,-0.204563210278951,-0.0746803933524529,-0.087079861926852,-0.0969948309269524,-0.0819879691517451
16,0,-0.096140966312146,-0.153341232347614,-0.222024216861616,-0.201649693920065,-0.207103335684423,-0.0916281024221802,-0.104426215340301,-0.114812746591516,-0.103853461497771
17,0,-0.102183796101494,-0.161580967836626,-0.218983807713719,-0.199126143780948,-0.20035761983166,-0.0959063528997751,-0.0985178645972919,-0.110387990979023,-0.101582354465997
18,0,-0.03073691243148,-0.094458412416731,-0.222892413948894,-0.226396219993627,-0.210549534042254,-0.0422834259987132,-0.0394917236402161,-0.0418627548752619,-0.0477027625914364
19,0,-0.0182910065605461,-0.101188101679042,-0.223281790204613,-0.217745314723898,-0.207975175768496,-0.0494537281131554,-0.0402031921475448,-0.0400249019598979,-0.0457454577628513
20,0,-0.0800294190294284,-0.103576105876264,-0.212370649946815,-0.213654110849106,-0.196661019612269,-0.0808846637142987,-0.0836906958419769,-0.0962720761823798,-0.0842244217438928
21,0,-0.0872175694832588,-0.154289988561695,-0.222548468034226,-0.200919484080513,-0.199649913733652,-0.100015713388849,-0.10075600695616,-0.115160236607535,-0.106058541248909
22,0,-0.0940748359358136,-0.162871983847378,-0.219367245501818,-0.199047520975966,-0.192544583007774,-0.105193997017926,-0.0954748359984839,-0.110720738877576,-0.103540341215651
23,0,-0.0365871876789216,-0.113952443025034,-0.211887624190293,-0.207182421527793,-0.216640190255363,-0.0449415704167833,-0.037192569856886,-0.0496050214550716,-0.0670370205660991
24,0,-0.0218692739265186,-0.118385719056872,-0.210438113007271,-0.19869227147685,-0.209324518080134,-0.0526020341579451,-0.0358636589405912,-0.0448997710207139,-0.0620393480004188
25,0,-0.0770132133199469,-0.141184670318443,-0.204157582270045,-0.199123382192375,-0.213423280462647,-0.0774155194398065,-0.0707956399806169,-0.0953200275675129,-0.101463289223367
26,0,-0.0795632039752773,-0.185945150959203,-0.221034664503082,-0.199121800093631,-0.215139677981204,-0.102657685482414,-0.088777384063824,-0.111806794798895,-0.114978405067695
27,0,-0.0761491547217716,-0.151394581593129,-0.211693345297068,-0.202209518756003,-0.184242575439321,-0.107021538832998,-0.0817580865719899,-0.0961902470396413,-0.0916757966852255
28,0,-0.0618525316473483,-0.163199093875956,-0.198587748156875,-0.184058054600384,-0.21975001760944,-0.0727339764532673,-0.0514590787417215,-0.0788607976428123,-0.101942322416784
29,0,-0.0533036046650447,-0.151663478006402,-0.200700176337333,-0.189597623749006,-0.210689536591433,-0.0755608187410757,-0.050001016505047,-0.0749048672172642,-0.0939293865266109
30,0,-0.0592701738508209,-0.144896669152514,-0.207760874769379,-0.198771419246602,-0.186521368011022,-0.105793189927048,-0.0713458485744506,-0.0884466624503022,-0.0911186178549044
31,0,-0.0362569811911045,-0.146250354694937,-0.181566185580068,-0.185745507427646,-0.212641574321598,-0.0214410291443824,-0.0695528185525414,-0.0394758356591489,-0.0157801063180416
32,0,-0.098468508462806,-0.118858047740079,-0.197364145064671,-0.228677830916889,-0.211486236169767,-0.0495157100663526,-0.0874398967402693,-0.0634721750557318,-0.0279335293448828
33,0,-0.029711797493446,-0.118307864234116,-0.176092556039474,-0.203078344661872,-0.190079954733941,-0.0269740478130682,-0.0668700779475691,-0.0377228726491555,0.00510924035121674
34,0,-0.0547748962060925,-0.132215308999956,-0.171895326099015,-0.181207476787275,-0.199177528874737,-0.0330717672023396,-0.0821407326445071,-0.0583928810679673,-0.0224145505629064
35,0,-0.0562430057428487,-0.148663919770411,-0.184243845445339,-0.181774492185131,-0.216849721658723,-0.0273058690980831,-0.0745025010480808,-0.0494735388969747,-0.0298186932809105
36,0,-0.107930568486836,-0.11626654565307,-0.195702196193141,-0.219134455396766,-0.211911571526251,-0.0467497729617283,-0.0817883817460604,-0.0649055625163377,-0.0376132027951372
37,0,-0.110462461607865,-0.137468120539964,-0.179923354730695,-0.173340692853589,-0.200496898884405,-0.0540729642743474,-0.101580382446627,-0.0899811573765251,-0.0615232981619861
