Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.0605765819520916,-0.128072945800944,-0.245997436082076,-0.315039092685258,-0.185146224698569,-0.102895613504708,-0.111593056943867,-0.0452710372625718,-0.101332766200223
2,0,-0.0636119121732603,-0.127245192119526,-0.249180349728463,-0.316157554527709,-0.191940743235752,-0.107220723366783,-0.120095765393458,-0.0588726705157485,-0.107888721841924
3,0,-0.0664715408548439,-0.136796261376479,-0.255440549227021,-0.327143708079907,-0.188488551163684,-0.109200713590192,-0.120472534439511,-0.0595816142987124,-0.100074024132468
4,0,-0.0715741799720437,-0.11764742652844,-0.237775182376399,-0.293622676966911,-0.181697669329072,-0.106370480087854,-0.126452068841365,-0.0738963985392175,-0.131419419301351
5,0,-0.054157909328807,-0.107605555215069,-0.237946264757132,-0.30228207782866,-0.177394756762553,-0.0982768396803888,-0.11809633503751,-0.051235652806122,-0.109514606482511
6,0,-0.0490688677885273,-0.10367182957477,-0.214530463768508,-0.268188296230673,-0.129308702925987,-0.0952915532251652,-0.126282350560589,-0.0842231172609981,-0.126465338475323
7,0,-0.0671124470732475,-0.135498093249776,-0.253547572524511,-0.321605861460175,-0.186037059899191,-0.106149407748538,-0.11654586544785,-0.0558774028686237,-0.101852177402163
8,0,-0.0754837796568609,-0.146551881713622,-0.265407324056658,-0.335504803802981,-0.192095849434469,-0.113858337243068,-0.125374778992101,-0.0713277346746883,-0.100198261527881
9,0,-0.06601201028216,-0.131856828115404,-0.259976658502092,-0.326519943741084,-0.204759135258569,-0.102393745692574,-0.134341406973548,-0.0556597211029856,-0.103948454401736
10,0,-0.0580574464529543,-0.121942356498479,-0.23917449628427,-0.295503156516842,-0.168322562012781,-0.0970411674909469,-0.141461567609521,-0.0779033007260657,-0.119739923210284
11,0,-0.0447761250588969,-0.108227465231226,-0.212218444056138,-0.26221195421151,-0.115318762066824,-0.087898940603974,-0.126915068026594,-0.0893568522668347,-0.123483220575123
12,0,-0.0738475905680657,-0.143070484941386,-0.261987545370189,-0.327842992687393,-0.187596262553098,-0.109657268204491,-0.119998289756651,-0.0658780153725007,-0.100523762249831
13,0,-0.0847738652412656,-0.15659638528775,-0.276413007619418,-0.343523966681341,-0.196244513272418,-0.118884597382815,-0.128776737932532,-0.0824399229275871,-0.0985216661314897
14,0,-0.0770837033988027,-0.143374452114846,-0.269836677671851,-0.334242109350634,-0.210848546704693,-0.107744938327876,-0.139782097197235,-0.0669440393319899,-0.104733230303996
15,0,-0.0641959733604925,-0.121246711981209,-0.237709003079513,-0.324778981928583,-0.200203219051179,-0.0926439845840971,-0.128378742337239,-0.055753562843269,-0.0949593124627117
16,0,-0.0546361172947043,-0.0911017331066676,-0.198667130779671,-0.299379991208025,-0.158332859179811,-0.0831601431831407,-0.112631333558354,-0.0572325254190467,-0.0952548228829647
17,0,-0.0449291568901365,-0.113238114227668,-0.219746632874276,-0.279129773642906,-0.152659254567256,-0.0797636225185927,-0.109159796218242,-0.0536935231230757,-0.101486444485861
18,0,-0.080616993279632,-0.150575797899884,-0.271182901808819,-0.333619455705073,-0.189603352011971,-0.113486272137578,-0.122024547727505,-0.0751837293762624,-0.0973283833334661
19,0,-0.0883079294389227,-0.150027980944088,-0.278784309273552,-0.352928310664646,-0.18468074802919,-0.119534911115043,-0.129542139612814,-0.0823694138346158,-0.0902084178788939
20,0,-0.0887797733298668,-0.155263061743727,-0.280875625713211,-0.341752428016788,-0.217024811119813,-0.113616674844483,-0.143552739720358,-0.0775085188263207,-0.103788803850514
21,0,-0.0762499729401492,-0.144517895371538,-0.260523619533589,-0.324084423865037,-0.201662859789934,-0.10109222034356,-0.14284051624102,-0.0794320842864352,-0.105519649033888
