Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,0.00829021243469108,-0.0705418403514174,-0.156182140150738,-0.308643040385265,-0.407111936417421,-0.311331070685248,-0.187183776396997,0.0126509758910081,-0.00698845662523917
2,0,0.0152982803787449,-0.0629908436874143,-0.131549565864038,-0.255461974121075,-0.366101783144788,-0.229505109695376,-0.151997910067044,0.0500893171190204,-0.00735216435730346
3,0,-0.0276615726742663,-0.112990804764371,-0.162850463411123,-0.341308957261635,-0.418366286703298,-0.278061234289532,-0.164682811274306,0.0163175418063146,-0.0120979698961909
4,0,0.0233781382709828,-0.0417686856969939,-0.145232437156959,-0.265893114944155,-0.379527364186778,-0.310877375900298,-0.182050952327629,0.0160536862557152,-0.00115417408853136
5,0,0.0208147537851886,-0.0161680249335386,-0.132773571183957,-0.208741004286893,-0.371351287040995,-0.290180922168466,-0.167181370346717,0.0206338352939583,0.00192572553817971
6,0,0.0283399702977523,-0.0355809644894832,-0.131360116779184,-0.252921740937313,-0.366237822717927,-0.340108653772853,-0.178517392569514,-0.00888348226628333,0.00373481956133581
7,0,-0.000120747184327308,-0.0393427887469938,-0.137353064461784,-0.230864804802486,-0.379371197471651,-0.344159516326746,-0.15944540937612,-0.0286171784140147,0.00433960671282296
8,0,0.00489584108496999,-0.0441184340579148,-0.150030978843343,-0.248921527389789,-0.357229391389365,-0.328828073288071,-0.157983526118064,-0.0205589003911906,0.00559590226547213
9,0,-0.00548660245657773,-0.0979316592853218,-0.161000378099645,-0.341491838960693,-0.412257455141346,-0.314641729251802,-0.180975711530841,-0.00182094533064525,-0.00730216663442651
10,0,0.0255804764810041,-0.060652430885054,-0.160786050805676,-0.313125367758015,-0.382279283109405,-0.330464321869055,-0.186615474290949,-0.00315797519267369,-0.00062525773309452
11,0,0.0339111811731714,-0.0474512733449162,-0.162009467272587,-0.30889823027244,-0.382400608418269,-0.367039112088604,-0.197831583684619,-0.0278490211962188,0.00159084659630016
12,0,0.0202467988169639,-0.0451764062957272,-0.177596261670845,-0.279372238049967,-0.344141552217857,-0.299283649907119,-0.163518886137883,0.00454316412520184,0.00407629659978581
13,0,0.0299143284532004,-0.0424495388239138,-0.146258455271678,-0.260060008989786,-0.325813617536144,-0.312875118685118,-0.162941016683019,-0.0160900140288879,0.00660941733396303
14,0,-0.00275772649552797,-0.0607379592649817,-0.150845056273899,-0.25150480759868,-0.340238263872679,-0.319357713506778,-0.13911974597662,-0.0422119096037508,0.00554270859432693
15,0,0.000705525353043912,-0.102640074981657,-0.131264375964675,-0.302186219338092,-0.336448607393387,-0.31041032559075,-0.14415817337773,-0.0432390291930257,0.00264296413686171
16,0,0.0233571785197333,-0.0688646016091475,-0.164472428148983,-0.332709502241682,-0.398821292631566,-0.349882742009919,-0.199567432535543,-0.0246745667739194,-0.00439618746748494
17,0,0.013779282806337,-0.0669084050336205,-0.176856561170596,-0.31023188651306,-0.357537372397093,-0.28721354581435,-0.168123510319881,0.00982894008306423,-0.00154007225394492
18,0,0.0268280328756842,-0.0544366273137561,-0.171919040515543,-0.291429708997627,-0.322498755973396,-0.277571518998822,-0.161020650150292,0.013154107752203,0.00349361693486627
19,0,0.0559769662982008,-0.0530513547217292,-0.122596177312178,-0.286532826870857,-0.315848063832666,-0.310702475718382,-0.183811535359735,-0.0182850705383616,0.0052952848223855
20,0,0.0152747374083613,-0.0868546012551954,-0.128987084230759,-0.280116731244904,-0.310010467619097,-0.292955907640536,-0.146253904932898,-0.037999047689229,0.0041827089872255
21,0,0.00327263555808144,-0.0699110806818981,-0.191133223579227,-0.310916673794103,-0.365040783147988,-0.291784791392458,-0.165255507882147,-0.00513569267381364,-0.00192322070701367
22,0,0.00437240435097186,-0.0881854549018346,-0.163555882982801,-0.319515955210927,-0.362183297630945,-0.270290307197893,-0.166209652283094,0.00791316776021156,-0.00534413069620099
23,0,0.0216966748039975,-0.0589541348061599,-0.176109482231163,-0.302925410692628,-0.335156431463794,-0.289106778016242,-0.17222633689758,0.00147882301284818,0.00102169350012327
24,0,0.0442749485077034,-0.0460239176057246,-0.149638839032006,-0.285787034239003,-0.31093457390938,-0.297154425198253,-0.184769798643113,-0.00926974580151674,0.00368729424631797
25,0,0.0371616007848166,-0.0582766711739503,-0.146237164134606,-0.280749213819937,-0.298180279277056,-0.2865815043149,-0.17032055005791,-0.0200593673215002,0.00437636116006801
26,0,0.0385508787628306,-0.0906942678809539,-0.105881212388984,-0.279430037494921,-0.289339231177099,-0.28046141648044,-0.157873966858495,-0.0437550066956596,0.00415991546630723
27,0,0.00201895416516606,-0.0847845353322135,-0.192487128082121,-0.33543288957475,-0.368327601130695,-0.309625672138242,-0.172952549899628,-0.0286756824385666,-0.00213084310681444
28,0,0.0132230183568232,-0.0707074867351282,-0.196886687073277,-0.321309668918171,-0.33970144096092,-0.2994392486941,-0.169595230303625,-0.0216773932464771,0.0015119974693889
29,0,0.0463047522125375,-0.0510554210496231,-0.184703574475795,-0.308117274271343,-0.322320100155956,-0.30064299748279,-0.187356516136568,-0.0295800187753135,0.0031697338885468
30,0,0.0624275524471174,-0.0727032381697105,-0.148118483023965,-0.314639224710059,-0.308655375971274,-0.263938950808127,-0.186818804040184,-0.0160767205240812,0.004220084006896
31,0,0.0729245143119537,-0.0915894510273424,-0.104182336181854,-0.304643600891805,-0.282978194941029,-0.230115941541841,-0.185728498454724,-0.00852867632303111,0.00466298602285575
32,0,0.0312414657873878,-0.0692119658979773,-0.197620448830689,-0.322668364334377,-0.354986287272277,-0.309550015400409,-0.180039915658386,-0.0476859068381591,0.000900001442573517
33,0,0.0457643872360294,-0.0645791935672023,-0.207942288959525,-0.315508957785019,-0.332872752643582,-0.287698306220403,-0.174556368060559,-0.0494014742975744,0.00328808048371476
34,0,0.0538823750755606,-0.0701018289200964,-0.191469771454068,-0.309434112478919,-0.307127552672499,-0.252162417875475,-0.174831283255232,-0.0327206052914221,0.0041474487229336
35,0,0.0206123023850098,-0.0533652487537016,-0.125319625666342,-0.236452176031555,-0.362376382755676,-0.225114260483663,-0.146556848204133,0.040987908042508,-0.00569555245603326
36,0,-0.0190958812227555,-0.142419868793838,-0.142009451974369,-0.334453579979517,-0.371757504281979,-0.19989704961326,-0.122859973649589,0.0422052211715453,-0.0112865163252298
37,0,0.0224812289603424,-0.0099340985513271,-0.128976249141896,-0.192659179232921,-0.370379675501284,-0.285910741332201,-0.160514763379261,0.00960782959667705,0.00378302932277985
38,0,-0.00105890312614887,-0.0360707490828813,-0.136599441255382,-0.217097598106927,-0.380351015623545,-0.340733103241772,-0.153664776040231,-0.0398215286315896,0.00526319503109862
39,0,-0.012372654048439,-0.0539991131159633,-0.154847226900167,-0.248868673882976,-0.378313260896513,-0.352752242506261,-0.152261242845009,-0.0512361966427392,0.00496371214126157
40,0,-0.0330852616099927,-0.148804102538224,-0.152702237610268,-0.355622442545139,-0.395756669992873,-0.239068587894034,-0.136744167603526,0.0234447791962562,-0.0113841000809387
41,0,-0.024454690242533,-0.0758209548223985,-0.171137611612108,-0.276247942239847,-0.37500324985192,-0.331115713754366,-0.140900741051402,-0.0490998762482912,0.00123445393696309
42,0,-0.00225495511375662,-0.0915324102198254,-0.140934029621048,-0.275030239217884,-0.333124763256783,-0.30050942773742,-0.133588842071203,-0.0524995912365053,0.00337677300130146
